Name,Stock Code,Cutout,New Description,Image
Cove flexible 1,CO-100513, L1000*W13*H5mm,"Cove Profile Flexible
 White, 1Mtr,
 L1000*W13*H5mm.",https://i.ibb.co/qYXHbx1g/cove-flexible-1.png
Cove flexible 2,CO-152027, L1000*W27*H20MM,"Cove Profile Flexible
 White, 1Mtr,
 L1000*W27*H20MM",https://i.ibb.co/VpYZh4Z3/cove-flexible-2.png
Cove,CO-101616, L1000*W16*H16mm.,"Cove Profile
 White, 1Mtr,
 L1000*W16*H16mm.",https://i.ibb.co/CKMnX9KT/cove-profile.png
Under cabinet 1,FR-040818, L1000*W08*H18MM,"Under Cabinet
 Grey & White Diffuser, 1Mtr,
 L1000*W08*H18MM",https://i.ibb.co/8Svqyzj/under-cabnet-1.png
Under cabinet 2,FR-041011/CH,L1000*W12*H10mm,"Under Cabinet
 Champagne & White Diffuser, 1Mtr,
 L1000*W12*H10mm",https://i.ibb.co/gMQn2k3G/under-cab3-cham.png
Under cabinet 2,FR-041011/BL, L1000*W12*H10mm,"Under Cabinet
 Black & White Diffuser, 1Mtr,
 L1000*W12*H10mm",https://i.ibb.co/pBnWFc1d/under-cabnet-3.png
Under cabinet 3,FR-051009, L1000*W12*H10mm,"Under Cabinet
 Iron Grey & White Diffuser, 1Mtr,
 L1000*W12*H10mm",https://i.ibb.co/XZQgk8WR/under-cabnet-2.png
Wide Recessed,FR-181431,L1000*W23.5*H13.6mm,"Wide Recessed
 White & White Diffuser, 1Mtr,
 L1000*W23.5*H13.6mm",https://i.ibb.co/W4RtTKtZ/wide-recessed-WW.png
Wide Recessed Black Finish,FR-181431/BW,L1000*W23.5*H13.6mm,"Wide Recessed 
 Black & White Diffuser, 1Mtr,
 L1000*W23.5*H13.6mm",https://i.ibb.co/nNZ5GpCp/wide-recessed-BW.png
Wide Recessed Black Difuser,FR-181431/BB,L1000*W23.5*H13.6mm,"Wide Recessed 
 Black & Black Diffuser, 1Mtr,
 L1000*W23.5*H13.6mm",https://i.ibb.co/qh5CxZC/wide-recessed-BB.png
Slim Recessed,FR-051213T,L1000* W7.8*H12mm,"Slim Recessed
 White &White Diffuser, 1Mtr,
 L1000* W7.8*H12mm",https://i.ibb.co/bDYcV5m/slim-recessed-WW.png
Slim Recessed,FR-051213T/BW,L1000* W7.8*H12mm,"Slim Recessed
 Black &White Diffuser, 1Mtr,
 L1000* W7.8*H12mm",https://i.ibb.co/Ld4qzsgc/slim-recessed-BW.png
Slim Recessed,FR-051213T/BB,L1000* W7.8*H12mm,"Slim Recessed
 Black & Black Diffuser, 1Mtr,
 L1000* W7.8*H12mm",https://i.ibb.co/RkvLdWp4/slim-recessed-BB.png
Slim Trimless,FR-050908T, L1000* W8*H9mm,"Slim Trimless
 White & White Diffuser, 1Mtr,
 L1000* W8*H9mm",https://i.ibb.co/qMj0kvn1/slim-trimless-WW.png
Slim Trimless,FR-050908T/WB, L1000* W8*H9mm,"Slim Trimless
 White & Black Diffuser, 1Mtr,
 L1000* W8*H9mm",https://i.ibb.co/rfQgfSgq/slim-trimless-WB.png
Thin Recessed,FR-120823T, L1000*W17.1*H8mm,"Thin Recessed 
 White &White Diffuser, 1Mtr,
 L1000*W17.1*H8mm",https://i.ibb.co/1tCNqhND/thin-recessed-WW.png
