Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,BIS No,BIS SEC,MRP,MFG BY,IMAGE
Anka,AOLZ1054,240V AC,NA,3000K, CRI>80,φ54*115mm,15~60° (Zoomable),10W,AJ/CG,AOLZ1054/30/B/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,22199,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Anka-AOLZ1054.webp
Anka,AOLZ1054,240V AC,NA,3000K, CRI>80,φ54*115mm,15~60° (Zoomable),10W,AJ/CG,AOLZ1054/30/G/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,22199,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Anka-Grey.webp
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 5°,3W,AJ/CG,AOLS0242/30/5/B/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,7399,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Zibal.webp
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 8°,3W,AJ/CG,AOLS0242/30/8/B/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,7399,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Zibal.webp
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 25°,3W,AJ/CG,AOLS0242/30/25/B/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,7399,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Zibal.webp
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 40°,3W,AJ/CG,AOLS0242/30/40/B/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,7399,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Zibal.webp
Zibal 3,AOLS0242,240V AC,NA,3000K, CRI>80,φ45*90mm, 60°,3W,AJ/CG,AOLS0242/30/60/B/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,7399,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Zibal.webp
Zibal 5.5,AOLS0663,240V AC,NA,3000K, CRI>80,φ45*90mm, 15°,6W,AJ/CG,AOLS0663/30/15/B/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,8749,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Zibal.webp
Zibal 5.5,AOLS0663,240V AC,NA,3000K, CRI>80,φ45*90mm, 30°,6W,AJ/CG,AOLS0663/30/30/B/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,8749,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Zibal.webp
Zibal 5.5,AOLS0663,240V AC,NA,3000K, CRI>80,φ45*90mm, 45°,6W,AJ/CG,AOLS0663/30/45/B/S,R-41249637,IS 10322 (PART 5/SEC 1) : 2012,8749,"Dongguan Qinglang Lighting Co.,Ltd.No.5, Fuming Road, Hengli Town, Dongguan CityGuangdong Province.",./assets/images/outdoor/Zibal.webp
