Name,Stock Code,Cutout,New Description,Image
Cove flexible 1,CO-100513, L1000*W13*H5mm,"Cove Profile Flexible
 White, 1Mtr,
 L1000*W13*H5mm.",./assets/images/profiles/cove-flexible-1.webp
Cove flexible 2,CO-152027, L1000*W27*H20MM,"Cove Profile Flexible
 White, 1Mtr,
 L1000*W27*H20MM",./assets/images/profiles/cove-flexible-2.webp
Cove,CO-101616, L1000*W16*H16mm.,"Cove Profile
 White, 1Mtr,
 L1000*W16*H16mm.",./assets/images/profiles/cove-profile.webp
Under cabinet 1,FR-040818, L1000*W08*H18MM,"Under Cabinet
 Grey & White Diffuser, 1Mtr,
 L1000*W08*H18MM",./assets/images/profiles/under-cabnet-1.webp
Under cabinet 2,FR-041011/CH,L1000*W12*H10mm,"Under Cabinet
 Champagne & White Diffuser, 1Mtr,
 L1000*W12*H10mm",./assets/images/profiles/under-cab3-cham.webp
Under cabinet 2,FR-041011/BL, L1000*W12*H10mm,"Under Cabinet
 Black & White Diffuser, 1Mtr,
 L1000*W12*H10mm",./assets/images/profiles/under-cabnet-3.webp
Under cabinet 3,FR-051009, L1000*W12*H10mm,"Under Cabinet
 Iron Grey & White Diffuser, 1Mtr,
 L1000*W12*H10mm",./assets/images/profiles/under-cabnet-2.webp
Wide Recessed,FR-181431,L1000*W23.5*H13.6mm,"Wide Recessed
 White & White Diffuser, 1Mtr,
 L1000*W23.5*H13.6mm",./assets/images/profiles/wide-recessed-WW.webp
Wide Recessed Black Finish,FR-181431/BW,L1000*W23.5*H13.6mm,"Wide Recessed 
 Black & White Diffuser, 1Mtr,
 L1000*W23.5*H13.6mm",./assets/images/profiles/wide-recessed-BW.webp
Wide Recessed Black Difuser,FR-181431/BB,L1000*W23.5*H13.6mm,"Wide Recessed 
 Black & Black Diffuser, 1Mtr,
 L1000*W23.5*H13.6mm",./assets/images/profiles/wide-recessed-BB.webp
Slim Recessed,FR-051213T,L1000* W7.8*H12mm,"Slim Recessed
 White &White Diffuser, 1Mtr,
 L1000* W7.8*H12mm",./assets/images/profiles/slim-recessed-WW.webp
Slim Recessed,FR-051213T/BW,L1000* W7.8*H12mm,"Slim Recessed
 Black &White Diffuser, 1Mtr,
 L1000* W7.8*H12mm",./assets/images/profiles/slim-recessed-BW.webp
Slim Recessed,FR-051213T/BB,L1000* W7.8*H12mm,"Slim Recessed
 Black & Black Diffuser, 1Mtr,
 L1000* W7.8*H12mm",./assets/images/profiles/slim-recessed-BB.webp
Slim Trimless,FR-050908T, L1000* W8*H9mm,"Slim Trimless
 White & White Diffuser, 1Mtr,
 L1000* W8*H9mm",./assets/images/profiles/slim-trimless-WW.webp
Slim Trimless,FR-050908T/WB, L1000* W8*H9mm,"Slim Trimless
 White & Black Diffuser, 1Mtr,
 L1000* W8*H9mm",./assets/images/profiles/slim-trimless-WB.webp
Thin Recessed,FR-120823T, L1000*W17.1*H8mm,"Thin Recessed 
 White &White Diffuser, 1Mtr,
 L1000*W17.1*H8mm",./assets/images/profiles/thin-recessed-WW.webp
Thin Recessed,FR-120823T/BW, L1000*W17.1*H8mm,"Thin Recessed 
 Black & White Diffuser, 1Mtr,
 L1000*W17.1*H8mm",./assets/images/profiles/thin-recessed-BW.webp
Thin Recessed,FR-120823T/BB, L1000*W17.1*H8mm,"Thin Recessed 
 Black & Black Diffuser, 1Mtr,
 L1000*W17.1*H8mm",./assets/images/profiles/thin-recessed-BB.webp
