Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,BIS No,BIS SEC,MRP,MFG BY,IMAGE
Kappa 10,ATFL1030,48V DC,NA,2700K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/27,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-black.webp
Kappa 10,ATFL1030,48V DC,NA,3000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/30,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-black.webp
Kappa 10,ATFL1030,48V DC,NA,3500K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/35,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-black.webp
Kappa 10,ATFL1030,48V DC,NA,40000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/40,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-black.webp
Kappa 10,ATFL1030,48V DC,NA,5000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/50,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-black.webp
Kappa 10,ATFL1030,48V DC,NA,2700K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/27/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-white.webp
Kappa 10,ATFL1030,48V DC,NA,3000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/30/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-white.webp
Kappa 10,ATFL1030,48V DC,NA,3500K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/35/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-white.webp
Kappa 10,ATFL1030,48V DC,NA,40000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/40/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-white.webp
Kappa 10,ATFL1030,48V DC,NA,5000K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/50/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,11699,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-white.webp
Kappa 10 Tunable,ATFL1030,48V DC,NA,2700K~6500K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/CT,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,12899,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-black.webp
Kappa 10 Tunable,ATFL1030,48V DC,NA,2700K~6500K, CRI>97, L300*W21.5*H47mm,110°,9W,AJ/CG,ATFL1030/CT/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,12899,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/kappa-10-black.webp
Kappa 20,ATFL2060,48V DC,NA,2700K, CRI>97,L600*W22.2*H47.8mm,110°,20W,AJ/CG,ATFL2060/27,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,14099,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/Kappa-20.webp
Kappa 20,ATFL2060,48V DC,NA,3000K, CRI>97,L600*W22.2*H47.8mm,110°,20W,AJ/CG,ATFL2060/30,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,14099,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/Kappa-20.webp
Kappa 20,ATFL2060,48V DC,NA,3500K, CRI>97,L600*W22.2*H47.8mm,110°,20W,AJ/CG,ATFL2060/35,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,14099,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/Kappa-20.webp
Kappa 20,ATFL2060,48V DC,NA,40000K, CRI>97,L600*W22.2*H47.8mm,110°,20W,AJ/CG,ATFL2060/40,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,14099,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/Kappa-20.webp
Kappa 20,ATFL2060,48V DC,NA,5000K, CRI>97,L600*W22.2*H47.8mm,110°,20W,AJ/CG,ATFL2060/50,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,14099,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/Kappa-20.webp
Kappa 20,ATFL2060,48V DC,NA,2700K, CRI>97,L600*W22.2*H47.8mm,110°,20W,AJ/CG,ATFL2060/27/W,R-41231258,IS 10322 (PART 5/SEC 1) : 2012,14099,"Guangdong Sat Technology Co. Ltd., No. 11 Lianbao Rd, Shengfeng District, Xiaolan Town, Zhongshan City, Guangdong, China – 528400",./assets/images/tracklights/Kappa-white-20.webp
